description,category,subcategory,merchant,amount
Dog chew toy,Pets & Animal Care,Pet Toys & Accessories,Pet Zone Kenya,521.07
School shoes,kitenge,Childcare & Parenting,"Children's Clothing & Shoes,Giggles & Smiles Daycare",622.97
Juala fixed,Housing & Home Expenses,Home Security Systems,Bestcare Services Kenya,67.77
Rate arrears,Housing & Home Expenses,Property Taxes,Rentokil Initial Kenya,515.9
Scooter ya Mathare,Transportation,Bike & Scooter Rentals,Lochab Transport Ltd.,783.26
KRA payment,Financial Expenses,Taxes,Visa,297.44
Vaccine appointment co-pay,Childcare & Parenting,Children's Health & Medical Care,Speech Therapy Services for Children Kenya,302.36
Dog food,treats,Pets & Animal Care,"Pet Food & Treats,Mobile Vet Services Kenya",16.08
Beads,thread,kitenge,"Shopping,Hobby & Craft Supplies,Kikuyu Mall",974.66
Matatu fare,Leisure & Entertainment,Theater & Performing Arts,Kenya International Film Festival,618.55
Sacco dividend,Income & Earnings,Investment Income,Lottery Winnings,357.22
Fuel,full tank,Transportation,"Fuel & Gasoline,SRM eProcurement",855.81
Dog wash,Pets & Animal Care,Grooming & Pet Spa Services,Kitten Rescue & Adoption Kenya,29.4
Brides cake deposit,Gifts & Donations,Wedding & Birthday Gifts,PCEA Kikuyu Hospital Charity Fund,140.74
KRA filing,Legal & Professional Services,Tax Preparation Services,Family Law & Divorce Lawyers Kenya,28.85
Filing fee payment,Legal & Professional Services,Court Fees,RSM Kenya Financial & Legal Advisory,203.01
Nyumba Mwezi,Housing & Home Expenses,Rent,Knight Frank Kenya,554.41
Latte and pastry,Food & Dining,Cafés & Coffee Shops,Peppertree,13.85
Scooter hire CBD,Transportation,Bike & Scooter Rentals,SRM eProcurement,706.61
Hotel,Nairobi,Business & Work Expenses,"Business Travel Expenses,Kenya Business Registration Service",818.43
Land case fees,Legal & Professional Services,Lawyer Fees,Anti-Money Laundering Compliance Kenya,846.5
HELB installment,Education & Learning,Student Loans Repayment,The Banda School,413.37
School fees,Education & Learning,Tuition Fees,Kenya Institute of Curriculum Development (KICD),342.1
Hobby & Craft Supplies purchase,Shopping,Hobby & Craft Supplies,Meru Greenwood Park Mall,373.57
Amusement Parks & Arcades purchase,Leisure & Entertainment,Amusement Parks & Arcades,Fox Cineplex Sarit,927.14
Gym,monthly,Health & Fitness,"Gym Memberships,Orthopedic and Trauma Institute",523.4
Saturday night sitter,Childcare & Parenting,Babysitting & Nanny Services,Kids' Toys & Games Co.,981.62
Sales incentives,Income & Earnings,Bonuses & Commissions,Refunds,630.18
Latte and bagel,Food & Dining,Cafés & Coffee Shops,Le Grenier à Pain,467.73
Drinks with friends,Food & Dining,Bars & Nightclubs,Seven Seafood & Grill,976.26
Gym,monthly,Health & Fitness,"Gym Memberships,Ndalo Heritage",395.47
Dawa ya tumbo,Childcare & Parenting,Children's Health & Medical Care,Postnatal & Parenting Counseling Kenya,664.04
Fundi repair,Miscellaneous & Unexpected Expenses,Emergency Expenses,Overdraft Fees,635.75
Dog grooming session,Pets & Animal Care,Pet Boarding & Sitting,Mobile Vet Services Kenya,544.74
Umeme token,Utilities,Electricity,Zuku,895.5
Hadithi Tamu,Leisure & Entertainment,Books & Magazines,Hot 96 FM Kenya,731.47
Stapler na wino,Business & Work Expenses,Office Supplies,Sage Accounting Kenya,553.33
Wireless mouse purchase,Shopping,Electronics & Gadgets,Mandera Plaza,563.1
Hotel room,Nairobi,Business & Work Expenses,"Business Travel Expenses,Co-op Bank Bizwise",916.23
Weekly church offering,Gifts & Donations,Religious Donations,GlobalGiving Kenya,411.69
Kesho loan,Financial Expenses,Bank Fees,Platinum Credit,372.33
Vasha hire,Travel & Vacation,Car Rentals,Expeditions Maasai Safaris,359.19
Simu imeibiwa,Miscellaneous & Unexpected Expenses,Lost or Stolen Items,Repairs,629.15
Shika ringi,Shopping,Jewelry & Watches,Adidas,816.79
Printer paper refill,Business & Work Expenses,Office Supplies,Kenya National Innovation Agency,47.36
Sukuma wiki,Food & Dining,Groceries,The Lighthouse Restaurant,897.78
Kiswahili class,Education & Learning,Workshops & Seminars,Decagon Kenya,868.54
School shoes,kitenge,Childcare & Parenting,"Children's Clothing & Shoes,Kenya Pediatric Association",808.24
Sauti Sol tickets,Leisure & Entertainment,Concerts & Live Events,Vox Events Hub (Voxvents),378.24
Late library books,Miscellaneous & Unexpected Expenses,Fines & Penalties,Legal Fees,867.94
Board game night,Shopping,Toys & Games,Kawangware Mall,38.92
Fidos flea meds,Pets & Animal Care,Pet Medications,Upper Hill Veterinary Clinic,27.88
Chevron,Regular,Utilities,"Gas,Azuri Technologies",385.0
Weekend getaway,Travel & Vacation,Hotels & Lodging,Jamii Tours & Travel Ltd,290.52
Cold & flu,Health & Fitness,Over-the-Counter Medicines,Boots,283.79
Home loan,Housing & Home Expenses,Mortgage Payments,Basco Paints,555.97
Hotel,Nairobi,Business & Work Expenses,"Business Travel Expenses,WeTransfer Kenya",735.38
Chevron,Regular,Utilities,"Gas,Safaricom",943.14
